year,mes,dia,franja_horaria,temperatura,humedad,viento_vel_m_s,viento_dir,presion,precipitacion,nubosidad
2025,4,15,Madrugada,16.0,93.79,7.19,10.0,1023.0,0.0,27.4
2025,4,15,Madrugada,16.0,87.93,7.19,10.0,1023.0,0.0,50.0
2025,4,15,Madrugada,16.0,87.93,7.19,360.0,1023.0,0.0,89.0
2025,4,15,Madrugada,16.0,87.93,7.19,10.0,1022.0,0.0,89.0
2025,4,15,Madrugada,16.0,87.93,5.11,30.0,1022.0,0.0,27.4
2025,4,15,Madrugada,15.0,87.84,6.19,20.0,1022.0,0.0,50.0
2025,4,15,Morning,15.0,93.75,5.11,30.0,1023.0,0.0,89.0
2025,4,15,Morning,16.0,82.39,7.19,20.0,1023.0,0.0,27.4
2025,4,15,Morning,19.0,68.18,7.19,20.0,1023.0,0.0,27.4
2025,4,15,Morning,21.0,56.41,8.19,10.0,1023.0,0.0,8.2
2025,4,15,Morning,23.0,53.32,6.19,30.0,1023.0,0.0,1.7
2025,4,15,Morning,25.0,44.28,7.19,20.0,1022.0,0.0,14.3
2025,4,15,Tarde,26.0,44.56,6.19,30.0,1022.0,0.0,27.4
2025,4,15,Tarde,27.0,39.34,8.19,20.0,1021.0,0.0,27.4
2025,4,15,Tarde,27.0,39.34,7.19,40.0,1020.0,0.0,27.4
2025,4,15,Tarde,28.0,39.62,7.19,30.0,1019.0,0.0,27.4
2025,4,15,Tarde,27.0,42.01,8.19,30.0,1019.0,0.0,27.4
2025,4,15,Tarde,25.0,47.28,9.31,30.0,1019.0,0.0,89.0
2025,4,15,Noche,24.0,53.58,8.19,30.0,1020.0,0.0,89.0
2025,4,15,Noche,22.0,60.47,8.19,30.0,1021.0,0.0,89.0
2025,4,15,Noche,20.0,72.94,8.19,20.0,1022.0,0.0,19.3
2025,4,15,Noche,19.0,72.76,7.19,20.0,1023.0,0.0,29.9
2025,4,15,Noche,19.0,72.76,8.19,10.0,1023.0,0.0,22.9
2025,4,15,Noche,19.0,72.76,6.19,20.0,1024.0,0.0,30.3
2025,4,16,Madrugada,17.0,82.51,7.19,20.0,1023.0,0.0,27.4
2025,4,16,Madrugada,17.0,82.51,8.19,20.0,1023.0,0.0,27.4
2025,4,16,Madrugada,17.0,82.51,7.19,20.0,1022.0,0.0,50.0
2025,4,16,Madrugada,16.0,82.39,6.19,20.0,1022.0,0.0,27.4
2025,4,16,Madrugada,15.0,87.84,6.19,20.0,1022.0,0.0,27.4
2025,4,16,Madrugada,15.0,87.84,6.19,30.0,1022.0,0.0,31.3
2025,4,16,Morning,15.0,87.84,6.19,20.0,1022.0,0.0,89.0
2025,4,16,Morning,17.0,77.31,7.19,30.0,1023.0,0.0,89.0
2025,4,16,Morning,19.0,68.18,9.31,20.0,1023.0,0.0,50.0
2025,4,16,Morning,21.0,60.24,10.31,20.0,1023.0,0.0,89.0
2025,4,16,Morning,23.0,49.93,10.31,20.0,1023.0,0.0,89.0
2025,4,16,Morning,24.0,50.2,9.31,20.0,1023.0,0.0,89.0
2025,4,16,Tarde,26.0,44.56,10.31,20.0,1022.0,0.0,50.0
2025,4,16,Tarde,26.0,41.73,7.19,50.0,1021.0,0.0,89.0
2025,4,16,Tarde,27.0,39.34,7.19,20.0,1020.0,0.0,89.0
2025,4,16,Tarde,27.0,39.34,7.19,30.0,1019.0,0.0,50.0
2025,4,16,Tarde,26.0,41.73,7.19,30.0,1019.0,0.0,50.0
2025,4,16,Tarde,25.0,44.28,8.19,20.0,1019.0,0.0,27.4
2025,4,16,Noche,24.0,47.01,8.19,30.0,1020.0,0.0,27.4
2025,4,16,Noche,21.0,60.24,9.31,20.0,1021.0,0.0,86.0
2025,4,16,Noche,20.0,68.38,8.19,30.0,1022.0,0.0,74.1
2025,4,16,Noche,19.0,77.62,9.31,20.0,1022.0,0.0,83.0
2025,4,16,Noche,18.0,82.63,7.19,30.0,1023.0,0.0,90.5
2025,4,16,Noche,18.0,82.63,8.19,20.0,1023.0,0.0,88.5
2025,4,17,Madrugada,17.0,88.01,8.19,20.0,1023.0,0.0,50.0
2025,4,17,Madrugada,17.0,88.01,7.19,10.0,1023.0,0.0,27.4
2025,4,17,Madrugada,17.0,88.01,8.19,20.0,1022.0,0.0,89.0
