name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Guatemala,2025-04-01,26,19,21.2,26,19,21.2,17.6,81.5,1.8,100,8.33,rain,0,0,28.4,18.4,188.3,1019.4,66.5,6.8,144.3,12.5,8,30,2025-04-01T05:57:11,2025-04-01T18:14:15,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MGGT,F3111,78641099999"
Guatemala,2025-04-02,26,18,21.2,26,18,21.2,17.3,79.6,0.7,100,20.83,rain,0,0,34.9,29.5,173.2,1019.7,62.9,8.2,178.3,15.4,10,30,2025-04-02T05:56:29,2025-04-02T18:14:22,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"MGGT,F3111,78641099999"
Guatemala,2025-04-03,26,16,21,26,16,21,15.6,72.8,0,0,0,,0,0,33.5,29.5,173.4,1020.1,50.8,8.9,283.7,24.4,10,10,2025-04-03T05:55:47,2025-04-03T18:14:29,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MGGT,F3111,78641099999"
Guatemala,2025-04-04,28,19,21.6,28.3,19,21.6,17,77.3,0,0,0,rain,0,0,32.4,33.5,163,1021.1,66.2,8.5,166.2,14.5,10,10,2025-04-04T05:55:06,2025-04-04T18:14:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MGGT,F3111,78641099999"
Guatemala,2025-04-05,27,18,21.5,27.5,18,21.6,16.8,76.3,0,0,0,rain,0,0,37.1,25.9,185.5,1020.9,43.3,9.8,167.5,14.4,8,10,2025-04-05T05:54:24,2025-04-05T18:14:43,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MGGT,F3111,78641099999"
Guatemala,2025-04-06,27.1,17,21.3,27.5,17,21.4,16.2,75,0,0,0,rain,0,0,36,29.5,178.8,1019.4,54.3,8.7,268.3,23.2,10,10,2025-04-06T05:53:43,2025-04-06T18:14:50,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MGGT,F3111,78641099999"
Guatemala,2025-04-07,27,18,21.3,27.3,18,21.3,16.7,77.3,0.5,100,12.5,rain,0,0,27.7,18.4,156.3,1019,82.9,8.6,159.2,13.6,7,10,2025-04-07T05:53:03,2025-04-07T18:14:57,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MGGT,F3111,78641099999"
Guatemala,2025-04-08,26,16,20.3,26,16,20.3,13.9,68.2,0.4,100,16.67,rain,0,0,45.7,40.7,28.2,1020.8,73.7,10,115.4,10.1,9,10,2025-04-08T05:52:22,2025-04-08T18:15:05,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MGGT,F3111,78641099999"
Guatemala,2025-04-09,26,15,18.8,26,15,18.8,12.1,66.6,0,0,0,,0,0,42.1,37.1,20.9,1023.5,70.5,10.6,260.1,22.4,10,10,2025-04-09T05:51:42,2025-04-09T18:15:13,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MGGT,F3111,remote,78641099999"
Guatemala,2025-04-10,26,15,18.6,26,15,18.6,11.8,66.4,0,0,0,rain,0,0,48.2,33.5,18,1023.7,52.3,10,244.6,21.1,10,10,2025-04-10T05:51:02,2025-04-10T18:15:20,0.42,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MGGT,F3111,78641099999"
