target,year,mes,dia,franja_horaria,temperatura,humedad,viento_vel_m_s,viento_dir,presion,precipitacion,nubosidad
0,2025,4,1,Madrugada,19.0,100.0,0.0,0.0,1020.0,0.0,27.4
0,2025,4,1,Madrugada,19.0,100.0,0.0,0.0,1020.0,0.0,89.0
0,2025,4,1,Madrugada,19.0,93.93,0.0,0.0,1019.0,0.0,89.0
0,2025,4,1,Madrugada,19.0,93.93,0.0,0.0,1019.0,0.0,89.0
0,2025,4,1,Madrugada,19.0,93.93,3.11,10.0,1019.0,0.0,89.0
0,2025,4,1,Madrugada,19.0,93.93,3.11,360.0,1019.0,0.0,50.0
0,2025,4,1,Morning,19.0,93.93,4.11,360.0,1019.0,0.0,50.0
0,2025,4,1,Morning,19.0,93.93,4.11,360.0,1020.0,0.0,50.0
0,2025,4,1,Morning,20.0,88.27,3.11,40.0,1021.0,0.0,89.0
0,2025,4,1,Morning,22.0,73.29,1.5,83.9,1021.0,0.0,27.4
0,2025,4,1,Morning,23.0,68.97,1.5,104.7,1021.0,0.0,50.0
0,2025,4,1,Morning,25.0,57.39,2.11,180.0,1021.0,0.0,50.0
0,2025,4,1,Tarde,25.0,57.39,3.11,180.0,1020.0,0.0,89.0
0,2025,4,1,Tarde,26.0,54.08,4.11,200.0,1019.0,0.0,89.0
0,2025,4,1,Tarde,26.0,61.39,5.11,180.0,1018.0,0.0,50.0
0,2025,4,1,Tarde,25.0,65.15,5.11,180.0,1017.0,0.0,50.0
0,2025,4,1,Tarde,23.0,68.97,5.11,210.0,1017.0,0.0,50.0
1,2025,4,1,Tarde,22.0,78.06,5.11,200.0,1017.0,1.6,100.0
1,2025,4,1,Noche,21.0,77.91,5.11,200.0,1018.0,0.2,89.0
0,2025,4,1,Noche,20.0,88.27,5.11,180.0,1019.0,0.0,89.0
0,2025,4,1,Noche,20.0,88.27,4.11,210.0,1020.0,0.0,50.0
0,2025,4,1,Noche,20.0,88.27,2.11,180.0,1020.0,0.0,50.0
0,2025,4,1,Noche,19.0,88.19,3.11,180.0,1021.0,0.0,89.0
0,2025,4,1,Noche,19.0,88.19,2.11,200.0,1020.0,0.0,50.0
0,2025,4,2,Madrugada,19.0,93.93,2.11,180.0,1020.0,0.0,100.0
0,2025,4,2,Madrugada,19.0,93.93,0.0,0.0,1019.0,0.0,50.0
0,2025,4,2,Madrugada,19.0,93.93,0.0,0.0,1018.0,0.0,100.0
0,2025,4,2,Madrugada,19.0,93.93,0.0,0.0,1018.0,0.0,89.0
0,2025,4,2,Madrugada,18.0,93.88,0.0,0.0,1020.0,0.0,50.0
0,2025,4,2,Madrugada,18.0,93.88,0.0,0.0,1019.0,0.0,89.0
0,2025,4,2,Morning,19.0,88.19,0.0,0.0,1020.0,0.0,89.0
0,2025,4,2,Morning,19.0,88.19,4.11,180.0,1020.0,0.0,89.0
0,2025,4,2,Morning,20.0,88.27,5.11,180.0,1021.0,0.0,89.0
1,2025,4,2,Morning,22.0,68.77,6.19,150.0,1021.0,0.2,50.0
1,2025,4,2,Morning,23.0,64.72,6.19,180.0,1021.0,0.1,50.0
1,2025,4,2,Morning,24.0,64.93,6.19,150.0,1021.0,0.2,50.0
1,2025,4,2,Tarde,25.0,61.16,7.19,180.0,1020.0,0.1,27.4
0,2025,4,2,Tarde,26.0,57.63,8.19,180.0,1019.0,0.0,27.4
0,2025,4,2,Tarde,26.0,57.63,6.19,180.0,1018.0,0.0,27.4
1,2025,4,2,Tarde,26.0,57.63,8.19,180.0,1018.0,0.1,27.4
0,2025,4,2,Tarde,25.0,61.16,8.19,160.0,1018.0,0.0,27.4
0,2025,4,2,Tarde,23.0,73.46,7.19,150.0,1018.0,0.0,50.0
0,2025,4,2,Noche,22.0,73.29,6.19,150.0,1019.0,0.0,50.0
0,2025,4,2,Noche,20.0,88.27,8.19,180.0,1019.0,0.0,50.0
0,2025,4,2,Noche,20.0,88.27,6.19,180.0,1021.0,0.0,100.0
0,2025,4,2,Noche,20.0,88.27,5.11,170.0,1021.0,0.0,89.0
0,2025,4,2,Noche,19.0,88.19,6.19,200.0,1021.0,0.0,89.0
0,2025,4,2,Noche,18.0,88.1,5.11,200.0,1022.0,0.0,50.0
0,2025,4,3,Madrugada,18.0,88.1,5.11,200.0,1021.0,0.0,89.0
0,2025,4,3,Madrugada,18.0,82.63,4.11,200.0,1021.0,0.0,37.0
0,2025,4,3,Madrugada,18.0,82.63,4.11,200.0,1020.0,0.0,34.7
