target,year,mes,dia,temperatura,humedad,viento_vel_m_s,viento_dir,presion,precipitacion,nubosidad,franja_horaria_Morning,franja_horaria_Noche,franja_horaria_Tarde
0,2025,4,18,17.0,88.01,6.19,30.0,1021.0,0.0,89.0,False,False,False
1,2025,5,10,23.0,68.97,4.11,180.0,1018.0,0.1,89.0,False,False,True
0,2025,4,30,21.0,77.91,3.11,160.0,1019.0,0.0,27.4,False,True,False
0,2025,5,14,20.0,88.27,2.11,140.0,1021.0,0.0,89.0,False,True,False
0,2025,5,1,25.0,61.16,7.19,160.0,1017.0,0.0,50.0,False,False,True
0,2025,5,12,17.0,82.51,7.19,20.0,1023.0,0.0,27.4,True,False,False
1,2025,5,12,26.0,50.73,8.19,30.0,1021.0,0.6,50.0,False,False,True
0,2025,5,7,20.0,88.27,4.11,180.0,1020.0,0.0,89.0,True,False,False
1,2025,5,10,20.0,82.87,0.0,0.0,1022.0,0.1,89.0,False,True,False
0,2025,5,1,22.0,68.77,3.11,180.0,1021.0,0.0,50.0,True,False,False
0,2025,4,19,20.0,88.27,0.0,0.0,1023.0,0.0,89.0,False,True,False
0,2025,4,13,24.0,38.49,7.19,30.0,1020.0,0.0,89.0,False,False,True
1,2025,4,8,18.0,88.1,6.19,30.0,1019.0,0.1,89.0,False,False,False
1,2025,3,30,23.0,68.97,0.0,0.0,1021.0,0.1,89.0,True,False,False
0,2025,4,25,17.0,88.01,4.11,30.0,1019.0,0.0,100.0,False,False,False
0,2025,4,21,20.0,82.87,5.11,30.0,1021.0,0.0,27.4,False,True,False
0,2025,4,26,25.0,47.28,7.19,30.0,1018.0,0.0,50.0,False,False,True
0,2025,4,30,23.0,73.46,5.11,180.0,1018.0,0.0,50.0,False,False,True
0,2025,4,28,15.0,93.75,5.11,20.0,1022.0,0.0,27.4,False,False,False
0,2025,4,13,25.0,36.26,8.19,30.0,1020.0,0.0,50.0,False,False,True
0,2025,5,7,27.0,54.33,7.19,180.0,1019.0,0.0,27.4,False,False,True
1,2025,5,11,24.0,57.15,12.39,360.0,1023.0,0.2,89.0,False,False,True
1,2025,5,9,21.0,88.35,5.11,150.0,1019.0,0.2,100.0,False,False,True
0,2025,4,4,22.0,78.06,5.11,160.0,1019.0,0.0,50.0,False,True,False
0,2025,4,26,22.0,56.66,7.19,20.0,1019.0,0.0,27.4,False,True,False
1,2025,5,5,24.0,73.63,6.19,140.0,1017.0,0.1,69.8,False,False,True
0,2025,5,1,24.0,64.93,7.19,180.0,1017.0,0.0,50.0,False,False,True
1,2025,5,11,19.0,88.19,6.19,20.0,1021.0,0.4,89.0,False,False,False
1,2025,5,13,29.0,51.49,4.11,180.0,1021.0,0.0,88.0,False,True,False
1,2025,5,20,27.0,57.87,6.19,170.0,1018.0,0.1,50.0,False,False,True
0,2025,4,13,14.0,82.14,6.19,20.0,1023.0,0.0,27.4,False,False,False
1,2025,5,18,26.0,61.39,6.19,150.0,1018.0,0.1,27.4,False,False,True
0,2025,4,17,20.0,68.38,8.19,360.0,1021.0,0.0,50.0,False,True,False
